binary_cross_entropy,kl_divergence,train_loss,epoch,step
18.75408363342285,0.3920387327671051,19.146121978759766,49,49
17.312305450439453,0.8062986135482788,18.11860466003418,99,99
16.104896545410156,1.2142345905303955,17.31913185119629,149,149
15.41335678100586,1.400071144104004,16.813426971435547,199,199
14.94476318359375,1.5707210302352905,16.515483856201172,249,249
14.629075050354004,1.7102476358413696,16.339323043823242,299,299
14.429218292236328,1.7703777551651,16.199596405029297,349,349
14.321159362792969,1.807267189025879,16.12842559814453,399,399
14.187896728515625,1.8844773769378662,16.07237434387207,449,449
14.16362190246582,1.897851586341858,16.061473846435547,499,499
14.083588600158691,1.920492172241211,16.00408172607422,549,549
