"","V1"
"1",1.63780876342207
"2",-0.905094051733613
"3",0.284122447483242
"4",0.712613777257502
"5",-0.818044936284423
"6",-1.20556543301791
"7",-1.88245823048055
"8",0.674596641212702
"9",-1.71994828432798
"10",1.38719215244055
"11",1.17682597320527
"12",-1.03721880540252
"13",1.30057242233306
"14",-0.914882600307465
"15",-0.975789377465844
"16",-0.78974893130362
"17",1.30506272148341
"18",0.663788512349129
"19",-0.422857530415058
"20",-1.44220813270658
"21",-1.71896983031183
"22",-1.8660342367366
"23",1.79005973413587
"24",-1.33753702789545
"25",-1.744649047032
"26",0.223193978890777
"27",0.459225601516664
"28",-1.50871382467449
"29",1.29718989972025
"30",0.636958715505898
"31",-1.68187949247658
"32",1.64257891755551
"33",0.829551743343472
"34",0.0622057784348726
"35",1.5146512389183
"36",0.206586418673396
"37",-1.32047499157488
"38",0.475710701197386
"39",0.0600854679942131
"40",0.670756586827338
"41",0.662425460293889
"42",-0.273078423924744
"43",-0.512398395687342
"44",1.8303403891623
"45",0.581042903475463
"46",-1.62965118698776
"47",-0.514047550037503
"48",-1.51081741880625
"49",-0.978226874023676
"50",-0.887170642614365
